id,title,title_yomi,artist_name,artist_yomi,version,special
113,WILD RIDE,WILDRIDE,中村康三,なかむらこうぞう,GF7&DM6,0
114,innocent world,INNOCENTWORLD,,,"GF7&DM6,有名楽曲",0
115,jet coaster☆girl,JETCOASTERGIRL,TOMOSUKE feat. Three Berry Icecream,TOMOSUKEFEATTHREEBERRYICECREAM,GF7&DM6,0
116,under control,UNDERCONTROL,Kevin Vecchione,KEVINVECCHIONE,GF7&DM6,0
117,すてきな雨あがり,すてきなあめあがり,寺島純子,てらしまじゅんこ,GF7&DM6,0
118,スイマーズ,すいまーず,亜熱帯マジ-SKA爆弾 feat. MAKI,あねったいまじSKAばくだんFEATMAKI,GF7&DM6,0
119,蛹,さなぎ,あさき,あさき,GF7&DM6,0
120,誰?,だれ,Handsome JET Project,HANDSOMEJETPROJECT,GF7&DM6,0
122,BRE∀K DOWN! (GF&DM STYLE),BREKDOWNGFDMSTYLE,BeForU,BEFORU,GF8&DM7,0
123,CHOCOLATE PHILOSOPHY,CHOCOLATEPHILOSOPHY,常盤ゆう,ときわゆう,GF8&DM7,0
124,Homesick Pt.2&3,HOMESICKPT23,ORANGENOISE SHORTCUT,ORANGENOISESHORTCUT,GF8&DM7,0
125,Infinite,INFINITE,PARALLEL FLOATERS,PARALLELFLOATERS,GF8&DM7,0
126,KISS ME GOODBYE!,KISSMEGOODBYE,TAEKO,TAEKO,GF8&DM7,0
127,Keiko my love,KEIKOMYLOVE,Jimmy Weckl,JIMMYWECKL,GF8&DM7,0
128,MODEL DD3,MODELDD3,Mutsuhiko Izumi,MUTSUHIKOIZUMI,GF8&DM7,0
129,THE OCEAN AND YOU,THEOCEANANDYOU,古川もとあき,ふるかわもとあき,GF8&DM7,0
130,To the IST,TOTHEIST,Glancer,GLANCER,GF8&DM7,0
131,begin,BEGIN,小坂りゆ,こさかりゆ,GF8&DM7,0
132,cachaca,CACHACA,Mokky de Yah Yah's,MOKKYDEYAHYAHS,GF8&DM7,0
133,too late two,TOOLATETWO,Des-ROW,DESROW,GF8&DM7,0
134,そっと。,そっと,鈴木愛,すずきあい,GF8&DM7,0
135,たまゆら,たまゆら,佐々木博史,ささきひろし,GF8&DM7,0
136,わすれもの,わすれもの,Handsome JET Project feat.mizushina,HANDSOMEJETPROJECTFEATMIZUSHINA,GF8&DM7,0
137,スタアの恋人,すたあのこいびと,くにたけ みゆき,くにたけみゆき,GF8&DM7,0
138,ツミナガラ... と彼女は謂ふ,みつながらとかのじょはいふ,あさき,あさき,GF8&DM7,0
139,三毛猫ロック,みけねころっく,亜熱帯マジ-SKA爆弾,あねったいまじSKAばくだん,GF8&DM7,0
140,人にやさしく,ひとにやさしく,,,"GF8&DM7,有名楽曲",0
141,美麗的家郷,めいりーでじあしゃん,劉 鋒,りゅうほう,GF8&DM7,0
143,777,777,EeL,EEL,GF9&DM8,0
144,Black horizon,BLACKHORIZON,Trick Trap,TRICKTRAP,GF9&DM8,0
145,Country day,COUNTRYDAY,Anna Vieste,ANNAVIESTE,GF9&DM8,0
146,DIAMONDS,DIAMONDS,,,"GF9&DM8,有名楽曲",0
147,GET READY,GETREADY,古川もとあき,ふるかわもとあき,GF9&DM8,0
148,I'm a loser,IMALOSER,樽木栄一郎,たるきえいいちろう,GF9&DM8,0
149,MAD BLAST,MADBLAST,THE INFECTION,THEINFECTION,GF9&DM8,0
150,MODEL DD4,MODELDD4,Mutsuhiko Izumi,MUTSUHIKOIZUMI,GF9&DM8,0
151,S.P.I.P.,SPIP,Thomas' Family with Yah Yah's,THOMASFAMILYWITHYAHYAHS,GF9&DM8,0
152,TIERRA BUENA,TIERRABUENA,WILMA DE OLIVEIRA,WILMADEOLIVEIRA,GF9&DM8,0
153,Utopia,UTOPIA,寺島純子,てらしまじゅんこ,GF9&DM8,0
154,チカラ,ちから,BeForU,BEFORU,GF9&DM8,0
155,万華鏡,まんげきょう,Jimmy Weckl,JIMMYWECKL,GF9&DM8,0
156,大見解,だいけんかい,Des-ROW・組,DESROWぐみ,GF9&DM8,0
157,月光蝶,げっこうちょう,あさき,あさき,GF9&DM8,0
158,林檎と蜂蜜,りんごとはちみつ,亜熱帯マジ-SKA爆弾 feat. MAKI,あねったいまじSKAばくだんFEATMAKI,GF9&DM8,0
159,涙のregret,なみだのregret,くにたけ みゆき,くにたけみゆき,GF9&DM8,0
160,花の唄,はなのうた,ちーちゃん,ちーちゃん,GF9&DM8,0
162,Agnus Dei,AGNUSDEI,あさき,あさき,GF10&DM9,0
163,Funky sonic World,FUNKYSONICWORLD,Des-ROW feat.SHIGE,DESROWFEATSHIGE,GF10&DM9,0
164,GET IT ALL,GETITALL,BRASS TRICKS,BRASSTRICKS,GF10&DM9,0
165,Libra,LIBRA,Thomas Howard Lichtenstein,THOMASHOWARDLICHTENSTEIN,GF10&DM9,0
166,MODEL DD5,MODELDD5,Mutsuhiko Izumi,MUTSUHIKOIZUMI,GF10&DM9,0
167,RISE,RISE,泉 陸奥彦,いずみむつひこ,GF10&DM9,0
168,SA-DA-ME,SADAME,good-cool feat. すわひでお,GOODCOOLFEATすわひでお,GF10&DM9,0
169,Timepiece phase II,TIMEPIECEPHASEII,佐々木博史,ささきひろし,GF10&DM9,0
170,cockpit,COCKPIT,Jimmy Weckl,JIMMYWECKL,GF10&DM9,0
171,joker,JOKER,Jimmy Weckl,JIMMYWECKL,GF10&DM9,0
172,mint candy ☆ citrus drop,MINTCANDYCITRUSDROP,U.KI,UKI,GF10&DM9,0
173,この子の七つのお祝いに,このこのななつのおいわいに,あさき,あさき,GF10&DM9,0
174,しかられ日和,しかられびより,Handsome JETと亜熱帯マジ-SKA爆弾,HANDSOMEJETとあねったいまじSKAばくだん,GF10&DM9,0
175,カゴノトリ,かごのとり,橙色特別室,だいだいいろとくべつしつ,GF10&DM9,0
176,ヒマワリ,ひまわり,RIYU from BeForU,RIYUFROMBEFORU,GF10&DM9,0
177,ヘリコプター,へりこぷたー,ピンクカプセル,ぴんくかぷせる,GF10&DM9,0
178,大切なもの,たいせつなもの,,,"GF10&DM9,有名楽曲",0
179,蒼白,そうはく,鈴木愛,すずきあい,GF10&DM9,0
181,Dedication,DEDICATION,Thomas Howard Lichtenstein,THOMASHOWARDLICHTENSTEIN,GF11&DM10,0
182,Dragon Blade,DRAGONBLADE,Kozo Nakamura,KOZONAKAMURA,GF11&DM10,0
183,Dream Again...,DREAMAGAIN,柴田浩之,しばたひろゆき,"GF11&DM10,有名楽曲",0
184,MODEL DD6,MODELDD6,Mutsuhiko Izumi,MUTSUHIKOIZUMI,GF11&DM10,0
185,MONSTER TREE,MONSTERTREE,,,"GF11&DM10,有名楽曲",0
186,Orbital Velocity,ORBITALVELOCITY,Jimmy Weckl,JIMMYWECKL,GF11&DM10,0
187,Passion,PASSION,KUMIKO,KUMIKO,GF11&DM10,0
188,Reaching for the Stars,REACHINGFORTHESTARS,serena,SERENA,GF11&DM10,0
189,Real 〜Lサイズの夢〜,REALLさいずのゆめ,MAKI,MAKI,GF11&DM10,0
190,Tail Spin,TAILSPIN,Des-ROW feat.DENNIS GUNN,DESROWFEATDENNISGUNN,GF11&DM10,0
191,WE ARE,WEARE,TЁЯRA,TERRA,GF11&DM10,0
192,YARA TUM KAHAN?,YARATUMKAHAN,ASMAT,ASMAT,GF11&DM10,0
193,prism,PRISM,肥塚良彦,こえづかよしひこ,GF11&DM10,0
194,☆shining☆（GF&dm style）,SHININGGFDMSTYLE,りゆ&のりあ,りゆのりあ,GF11&DM10,0
195,こたつとみかん,こたつとみかん,ピンクカプセル,ぴんくかぷせる,GF11&DM10,0
196,二人はラブラブ（仮）,ふたりはらぶらぶかり,Handsome JET Project,HANDSOMEJETPROJECT,GF11&DM10,0
197,明鏡止水,めいきょうしすい,TOMOSUKE feat. あさき,TOMOSUKEFEATあさき,GF11&DM10,0
198,青春狂騒曲,せいしゅんきょうそうきょく,,,"GF11&DM10,有名楽曲",0
199,鬼姫,おにひめ,鬼の子合唱団,おにのこがっしょうだん,GF11&DM10,0
201,A SHOOTING STAR,ASHOOTINGSTAR,古川もとあき,ふるかわもとあき,ee' MALL 2nd avenue,0
202,Aithon,AITHON,Kozo Nakamura,KOZONAKAMURA,ee' MALL 2nd avenue,0
203,Marigold,MARIGOLD,SHORTCUTS,SHORTCUTS,ee' MALL 2nd avenue,0
204,Wall Street down-sizer,WALLSTREETDOWNSIZER,Thomas Howard Lichtenstein,THOMASHOWARDLICHTENSTEIN,ee' MALL 2nd avenue,0
205,バリバリブギ 〜涙のフルーツポンチ〜,ばりばりぶぎなみだのふるーつぽんち,Hedel Bendel,HEDELBENDEL,ee' MALL 2nd avenue,0
206,ペパーミントは私の敵,ぺぱーみんとはわたしのてき,常盤ゆう,ときわゆう,ee' MALL 2nd avenue,0
207,空言の海,むなごとのそら,音々,ねね,ee' MALL 2nd avenue,0
208,螺子之人,ねじのひと,あさき,あさき,ee' MALL 2nd avenue,0
210,AFTER A HARD DAY,AFTERAHARDDAY,Brad Holmes,BRADHOLMES,GF&DMV,0
211,DOKI☆DOKI,DOKIDOKI,TAEKO,TAEKO,GF&DMV,0
212,Desert Rose,DESERTROSE,Kozo Nakamura,KOZONAKAMURA,GF&DMV,0
213,Die Zauberflote,DIEZAUBERFLTE,わんにゃん☆パニックス,わんにゃんぱにっくす,GF&DMV,0
214,ESCAPE TO THE SKY★彡,ESCAPETOTHESKY,TЁЯRA,TERRA,GF&DMV,0
215,Endless cruising,ENDLESSCRUISING,Des-ROW feat.SHIGE,DESROWFEATSHIGE,GF&DMV,0
216,Fairy Tales,FAIRYTALES,Mutsuhiko Izumi,MUTSUHIKOIZUMI,GF&DMV,0
217,Flow,FLOW,PARALLEL FLOATERS,PARALLELFLOATERS,GF&DMV,0
218,"Gently, the rain sings for me",GENTLYTHERAINSINGSFORME,HOLSTEIN,HOLSTEIN,"GF&DMV,有名楽曲",0
219,HEAVEN'S COCKTAIL,HEAVENSCOCKTAIL,高野治幸＆NEW BIG 5,たかのはるゆきNEWBIG5,GF&DMV,0
220,Little Prayer,LITTLEPRAYER,土岐麻子,ときあさこ,GF&DMV,0
221,NO MORE CRYING,NOMORECRYING,Brenda Vaughn,BRENDAVAUGHN,GF&DMV,0
222,Plastic Umbrella,PLASTICUMBRELLA,chico,CHICO,GF&DMV,0
223,Say,SAY,TOMOKO MIWA,TOMOKOMIWA,GF&DMV,0
224,Street Runner,STREETRUNNER,古川もとあき,ふるかわもとあき,GF&DMV,0
225,White tornado,WHITETORNADO,Trick Trap,TRICKTRAP,GF&DMV,0
